Radius (nm),PDA,AMNP1,PDA,AMNP2
0.0249991,0,0,0,0
0.0270829,0,0,0,0
0.0293404,0,0,0,0
0.0317861,0,0,0,0
0.0344357,0,0,0,0
0.0373061,0,0,0,0
0.0404158,0,0,0,0
0.0437847,0,0,0,0
0.0474345,0,0,0,0
0.0513884,0,0,0,0
0.055672,0,0,0,0
0.0603126,0,0,0,0
0.06534,0,0,0,0
0.0707865,0,0,0,0
0.076687,0,0,0,0
0.0830793,0,0,0,0
0.0900045,0,0,0,0
0.097507,0,0,0,0
0.105635,0,0,0,0
0.11444,0,0,0,0
0.123979,0,0,0,0
0.134314,0,0,0,0
0.14551,0,0,0,0
0.157639,0,0,0,0
0.170779,0,0,0,0
0.185015,0,0,0,0
0.200437,0,0,0,0
0.217144,0,0,0,0
0.235245,0,0,0,0
0.254854,0,0,0,0
0.276097,0,0,0,0
0.299112,0,0,0,0
0.324045,0,0,0,0
0.351056,0,0,0,0
0.380318,0,0,0,0
0.41202,0,0,0,0
0.446365,0,0,0,0
0.483572,0,0,0,0
0.523881,0,0,0,0
0.567549,0,0,0,0
0.614858,0,0,0,0
0.666111,0,0,0,0
0.721635,0,0,0,0
0.781788,0,0,0,0
0.846955,0,0,0,0
0.917553,0,0,0,0
0.994037,0,0,0,0
1.0769,0,0,0,0
1.16666,0,0,0,0
1.26391,0,0,0,0
1.36927,0,0,0,0
1.4834,0,0,0,0
1.60705,0,0,0,0
1.74101,0,0,0,0
1.88614,0,0,0,0
2.04336,0,0,0,0
2.21368,0,0,0,0
2.39821,0,0,0,0
2.59811,0,0,0,0
2.81468,0,0,0,0
3.0493,0,0,0,0
3.30348,0,0,0,0
3.57885,0,0,0,0
3.87717,0,0,0,0
4.20035,0,0,0,0
4.55048,0,0,0,0
4.92979,0,0,0,0
5.34072,0,0,0,0
5.7859,0,0,0,0
6.26819,0,0,0,0
6.79068,0,0,0,0.264848
7.35673,0,0,0,0.776602
7.96995,0,0,0,0.0430087
8.6343,0,0,0,0
9.35402,0,0,0,0
10.1337,0,0,0,0
10.9784,0,0,0,0
11.8936,0,0,0,0
12.885,0,0,0,0
13.959,0,0,0,0
15.1226,0,0,0,0
16.3831,0,0,0,0
17.7488,0,0,0,0
19.2283,0,0,0,0
20.831,0,0,0,0
22.5674,0,0,0,0
24.4486,0,0,0,0
26.4865,0,0,0,0
28.6943,0,0,0,0
31.0862,0,0,0,0
33.6774,0,0,0,0
36.4846,0,0,0,0
39.5259,0,0,0,0
42.8206,0,0,0,0
46.39,0,0,0,0
50.2568,0,0,0,0
54.4461,0,0,0,0
58.9845,0,0,0,0
63.9012,0,12.4407,0,0
69.2278,0,28.4869,0,0
74.9983,0,32.8159,0,0
81.2499,0,21.9517,0,0.649838
88.0226,0,4.30479,0,15.428
95.3598,0,0,0,28.113
103.309,0,0,3.88938,30.0008
111.92,0,0,17.9637,19.9718
121.249,0,0,27.8529,4.75209
131.356,34.0092,0,27.5959,0
142.306,46.1186,0,17.8684,0
154.168,19.8722,0,4.82978,0
167.018,0,0,0,0
180.94,0,0,0,0
196.023,0,0,0,0
212.363,0,0,0,0
230.064,0,0,0,0
249.242,0,0,0,0
270.018,0,0,0,0
292.525,0,0,0,0
316.909,0,0,0,0
343.325,0,0,0,0
371.944,0,0,0,0
402.947,0,0,0,0
436.536,0,0,0,0
472.924,0,0,0,0
512.345,0,0,0,0
555.052,0,0,0,0
601.319,0,0,0,0
651.443,0,0,0,0
705.744,0,0,0,0
764.572,0,0,0,0
828.304,0,0,0,0
897.349,0,0,0,0
972.148,0,0,0,0
1053.18,0,0,0,0
1140.97,0,0,0,0
1236.08,0,0,0,0
1339.11,0,0,0,0
1450.74,0,0,0,0
1571.67,0,0,0,0
1702.67,0,0,0,0
1844.6,0,0,0,0
1998.36,0,0,0,0
2164.94,0,0,0,0
2345.4,0,0,0,0
2540.9,0,0,0,0
2752.7,0,0,0,0
2982.16,0,0,0,0
3230.74,0,0,0,0
3500.04,0,0,0,0
3791.79,0,0,0,0
4107.86,0,0,0,0
4450.27,0,0,0,0
4821.23,0,0,0,0
5223.11,0,0,0,0
5658.49,0,0,0,0
6130.16,0,0,0,0
6641.15,0,0,0,0
7194.73,0,0,0,0
7794.45,0,0,0,0
8444.17,0,0,0,0
9148.04,0,0,0,0
9910.59,0,0,0,0
10736.7,0,0,0,0
11631.7,0,0,0,0
12601.2,0,0,0,0
13651.6,0,0,0,0
14789.6,0,0,0,0
16022.4,0,0,0,0
17358,0,0,0,0
18804.8,0,0,0,0
20372.3,0,0,0,0
22070.5,0,0,0,0
23910.2,0,0,0,0
25903.3,0,0,0,0
28062.5,0,0,0,0
30401.7,0,0,0,0
32935.8,0,0,0,0
35681.2,0,0,0,0
38655.5,0,0,0,0
41877.7,0,0,0,0
